Steps,Policy/Entropy,Environment/Lesson/lessonID,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Episode Length,Is Training
55300,-3.503649,0.0,49.065254,-0.19024014,-4.542903900146484,-4.542903900146484,0.0022449097596108913,49.0,1.0
55400,-4.2970624,0.0,46.653168,-0.19588856,18.197845458984375,18.197845458984375,0.0006452056695707142,49.0,1.0
55500,-3.7455316,0.0,169.53186,-0.16498622,46.803091049194336,46.803091049194336,0.00161255820421502,49.0,1.0
55600,-3.9660003,0.0,84.880165,-0.20945406,22.582853317260742,22.582853317260742,0.0008888289448805153,49.0,1.0
55700,-3.8879676,0.0,121.487854,-0.1366066,35.900333404541016,35.900333404541016,0.0005447708099381998,49.0,1.0
55800,-3.8429303,0.0,141.88467,-0.16950494,1.243255615234375,1.243255615234375,0.0010817208749358542,49.0,1.0
55900,-3.815616,0.0,124.37309,-0.1670852,6.751811981201172,6.751811981201172,0.21609080691996496,49.0,1.0
56000,-3.6138775,0.0,80.5551,-0.16121691,11.22149658203125,11.22149658203125,0.00206946513208095,49.0,1.0
56100,-3.8907175,0.0,170.97736,-0.15109605,51.28138732910156,51.28138732910156,0.0005332743021426722,49.0,1.0
56200,-3.7890518,0.0,184.86316,-0.17088212,43.10353469848633,43.10353469848633,0.007493377663195133,49.0,1.0
56300,-3.8921585,0.0,102.14198,-0.1330438,8.501836776733398,8.501836776733398,0.019607792142778635,49.0,1.0
56400,-3.922809,0.0,157.61852,-0.18195987,27.778337478637695,27.778337478637695,0.0020573257352225482,49.0,1.0
56500,-4.046905,0.0,36.85768,-0.19058126,-30.30072784423828,-30.30072784423828,0.0023818869958631694,49.0,1.0
56600,-3.930757,0.0,146.40085,-0.14324537,32.95786952972412,32.95786952972412,0.005167030030861497,49.0,1.0
56700,-3.747337,0.0,178.86111,-0.23894218,44.21226978302002,44.21226978302002,0.0035953271435573697,49.0,1.0
56800,-4.012678,0.0,187.52905,-0.21620744,67.89045524597168,67.89045524597168,0.0015832141507416964,49.0,1.0
56900,-4.1755085,0.0,102.24762,-0.15417895,-25.46849250793457,-25.46849250793457,0.0004645287699531764,49.0,1.0
57000,-3.9111252,0.0,-10.476463,-0.15742806,-64.89899063110352,-64.89899063110352,0.002171086613088846,49.0,1.0
57100,-4.914313,0.0,44.31952,-0.18246925,-8.545856475830078,-8.545856475830078,0.0009302147082053125,49.0,1.0
57200,-4.3870134,0.0,-116.34694,-0.18255109,-100.12622833251953,-100.12622833251953,0.012745247222483158,49.0,1.0
57300,-3.6920395,0.0,131.1507,-0.14971589,20.305009841918945,20.305009841918945,0.001520447141956538,49.0,1.0
57400,-3.5995646,0.0,81.4342,-0.19373478,18.066226959228516,18.066226959228516,0.0008687673835083842,49.0,1.0
57500,-3.7209022,0.0,194.41977,-0.23053214,76.15884017944336,76.15884017944336,0.007525425869971514,49.0,1.0
57600,-3.4098191,0.0,192.93384,-0.22285305,69.28621482849121,69.28621482849121,0.002624540764372796,49.0,1.0
57700,-4.1307864,0.0,6.21933,-0.16856086,-44.913400650024414,-44.913400650024414,0.0004519744106801227,49.0,1.0
57800,-3.4025116,0.0,118.9803,-0.14314562,16.815619468688965,16.815619468688965,0.0012659000931307673,49.0,1.0
57900,-4.1926394,0.0,197.21393,-0.2782008,83.21327590942383,83.21327590942383,0.0006905240297783166,49.0,1.0
58000,-3.682941,0.0,163.54726,-0.19592026,37.1141037940979,37.1141037940979,0.022547092172317207,49.0,1.0
58100,-3.8461416,0.0,163.37753,-0.17163825,37.6234245300293,37.6234245300293,0.014513700501993299,49.0,1.0
58200,-3.8480115,0.0,102.54889,-0.15542494,-21.25789165496826,-21.25789165496826,0.0012368936440907419,49.0,1.0
58300,-3.9566069,0.0,196.75299,-0.19913383,87.09389114379883,87.09389114379883,0.000800875568529591,49.0,1.0
58400,-4.5942507,0.0,127.68853,-0.15815288,-5.505105018615723,-5.505105018615723,0.0034061663900502026,49.0,1.0
58500,-4.0949297,0.0,20.04237,-0.1314787,-53.20880603790283,-53.20880603790283,0.0012131040275562555,49.0,1.0
