Steps,Policy/Entropy,Environment/Lesson/heightMultiplier,Environment/Lesson/noiseEstimatorVariable,Environment/Lesson/noiseScale,Environment/Lesson/noiseOctaves,Environment/Lesson/noisePersistence,Environment/Lesson/noiseLacunarity,Environment/Lesson/noiseSeed,Environment/Lesson/waterLevel,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
6300,0.9476869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-244.69002,5.6797724,-11745.48681640625,-11745.48681640625,35.85846996307373,1046.245,123.97185,495.6918,503.9269,0.91128385,0.0003,75.98375,5.6151595,1.0
6400,0.943013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-237.03114,6.3031836,-10857.69873046875,-10857.69873046875,50.0,821.54895,131.49512,351.2504,349.77643,0.9099003,0.0003,253.98906,10.608698,1.0
6500,0.8760746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-249.2881,6.441444,-10328.63427734375,-10328.63427734375,49.64349937438965,1689.8328,119.05393,691.6081,662.87866,0.9085194,0.0003,212.76758,9.767974,1.0
6600,0.9019362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-216.20113,3.5304658,-11114.35888671875,-11114.35888671875,49.977888107299805,1043.1005,114.60935,334.67682,322.97687,0.9071444,0.0003,186.01398,8.368158,1.0
6700,0.85128695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-214.1499,4.6096544,-10201.50439453125,-10201.50439453125,49.38228416442871,1160.7554,125.97534,253.9792,246.13028,0.90577585,0.0003,87.57643,7.3847275,1.0
6800,0.83669084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-276.02087,7.465994,-10218.88720703125,-10218.88720703125,50.0,1474.9828,110.174034,442.70078,426.56378,0.90441036,0.0003,223.68887,10.982906,1.0
6900,0.8052542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-208.69815,4.3111067,-9798.5458984375,-9798.5458984375,50.0,1453.693,121.4012,512.30725,510.44034,0.9030496,0.0003,289.48773,12.121464,1.0
7000,0.9208773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-225.8346,3.8777914,-10123.05419921875,-10123.05419921875,47.160465240478516,1734.5544,117.74843,736.924,733.88464,0.9016959,0.0003,148.32727,9.039533,1.0
7100,1.1065781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-228.60959,3.8478546,-9818.94580078125,-9818.94580078125,45.37211608886719,921.04504,111.28475,378.84836,392.51263,0.90035135,0.0003,80.13447,7.2121267,1.0
7200,0.9600059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-217.95651,4.253035,-7961.139892578125,-7961.139892578125,45.121442794799805,956.1002,116.94041,407.08783,446.6435,0.8990094,0.0003,98.84389,8.163791,1.0
