Steps,Policy/Entropy,Environment/Lesson/lessonID,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
2900,0.8116567,0.0,14.0,78.61425,-9.709067,362.5,362.5,15.0,1.0
3000,0.76873916,0.0,14.0,86.095695,-9.870026,366.6666666666667,366.6666666666667,15.0,1.0
3100,0.7875138,0.0,14.0,90.72966,-10.793246,367.85714285714283,367.85714285714283,15.0,1.0
3200,0.7753367,0.0,14.0,93.43012,-11.306381,360.7142857142857,360.7142857142857,15.0,1.0
3300,0.75159216,0.0,14.0,101.9694,-11.506259,370.8333333333333,370.8333333333333,15.0,1.0
3400,0.73070097,1.0,14.0,103.535965,-12.100009,373.2142857142857,373.2142857142857,15.0,1.0
3500,0.68452495,1.0,14.0,111.32116,-12.115211,-42.13645771571568,-42.13645771571568,15.0,1.0
3600,0.7008782,1.0,14.0,111.373924,-12.778428,-39.004922231038414,-39.004922231038414,15.0,1.0
3700,0.68601614,1.0,14.0,111.5964,-12.762683,-34.65769781385149,-34.65769781385149,15.0,1.0
3800,0.67671025,1.0,14.0,115.38311,-13.355643,-38.059243610927034,-38.059243610927034,15.0,1.0
3900,0.670271,1.0,12.714285714285714,120.840195,-14.000092,107.65763119288853,107.65763119288853,13.714285714285714,1.0
4000,0.6704149,1.0,13.714285714285714,123.41117,-13.967456,97.00475638253349,97.00475638253349,14.714285714285714,1.0
4100,0.60718066,1.0,12.0,127.29883,-13.74478,104.41248594011579,104.41248594011579,13.0,1.0
4200,0.61559975,1.0,12.25,125.302734,-14.209349,93.52544450759888,93.52544450759888,13.25,1.0
4300,0.5878031,1.0,14.0,133.00052,-14.678551,-41.30331148420061,-41.30331148420061,15.0,1.0
4400,0.60820764,1.0,14.0,132.76541,-15.336854,-48.39138158162435,-48.39138158162435,15.0,1.0
4500,0.61937875,1.0,14.0,142.6152,-16.364613,-48.71058981759207,-48.71058981759207,15.0,1.0
4600,0.6529302,1.0,14.0,135.12155,-18.146671,-53.71004431588309,-53.71004431588309,15.0,1.0
4700,0.5898167,1.0,14.0,144.24104,-17.483042,-41.32727305094401,-41.32727305094401,15.0,1.0
4800,0.6090627,1.0,14.0,146.99046,-19.13956,-42.96425873892648,-42.96425873892648,15.0,1.0
4900,0.5547027,1.0,13.571428571428571,142.63614,-20.802092,97.57981382097516,97.57981382097516,14.571428571428571,1.0
5000,0.50588727,1.0,11.5,152.7655,-19.811802,338.14012575149536,338.14012575149536,12.5,1.0
5100,0.50695837,1.0,12.142857142857142,152.3098,-21.28766,101.94373376028878,101.94373376028878,13.142857142857142,1.0
5200,0.5372911,1.0,14.0,158.72289,-20.814287,-43.023212160382954,-43.023212160382954,15.0,1.0
5300,0.5655907,1.0,14.0,159.93803,-21.919386,-60.15650503976004,-60.15650503976004,15.0,1.0
5400,0.47545153,1.0,12.0,173.33401,-22.22578,94.4627549307687,94.4627549307687,13.0,1.0
5500,0.49495265,1.0,14.0,166.07918,-21.302988,-59.013054438999724,-59.013054438999724,15.0,1.0
5600,0.49348935,1.0,14.0,169.35007,-21.877016,-64.39480372837612,-64.39480372837612,14.983564376831055,1.0
5700,0.44972324,1.0,13.714285714285714,166.16577,-22.899084,82.2448229108538,82.2448229108538,14.714285714285714,1.0
5800,0.49799606,1.0,14.0,170.6754,-21.618109,-57.425388971964516,-57.425388971964516,15.0,1.0
5900,0.3914256,1.0,14.0,180.22096,-22.283567,-50.446192605154856,-50.446192605154856,15.0,1.0
6000,0.5937145,1.0,14.0,193.89397,-24.936716,-66.867614201137,-66.867614201137,15.0,1.0
6100,0.42483002,1.0,14.0,186.14555,-23.620546,-54.754617055257164,-54.754617055257164,15.0,1.0
6200,0.39242113,1.0,14.0,192.42032,-24.207157,-51.194152287074495,-51.194152287074495,15.0,1.0
6300,0.42195836,1.0,10.444444444444445,197.58708,-25.405563,407.7033292982313,407.7033292982313,11.444444444444445,1.0
6400,0.46153677,1.0,12.285714285714286,202.75833,-24.726095,101.76707295009068,101.76707295009068,13.285714285714286,1.0
6500,0.35497367,1.0,14.0,189.77171,-25.0301,-64.4292482648577,-64.4292482648577,15.0,1.0
6600,0.3311261,1.0,14.0,191.90845,-24.440145,-58.586276372273765,-58.586276372273765,15.0,1.0
6700,0.27512777,1.0,13.857142857142858,194.21916,-24.29603,-57.61074447631836,-57.61074447631836,15.0,1.0
6800,0.30559224,1.0,12.625,227.062,-25.473331,334.78276538848877,334.78276538848877,13.5,1.0
6900,0.36588123,1.0,14.0,199.6197,-25.694887,-46.65477434794108,-46.65477434794108,15.0,1.0
7000,0.23011899,1.0,12.875,224.28046,-24.543785,83.64857959747314,83.64857959747314,13.839003682136536,1.0
