Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
13500,3.418938,17.555555555555557,-1512.7604,-3921.9687409577546,-3529.7718641493057,4615952.0,0.3881543,0.0026026198,0.10000002,0.0004350946,1.0
14000,3.418938,17.51851851851852,-1545.0363,-3885.6022655345773,-3497.042039659288,4941310.0,0.38883203,0.0025890076,0.10000002,0.00043287117,1.0
14500,3.418938,16.821428571428573,-1676.0441,-3630.9988839285716,-3267.8989693777903,4397751.5,0.37887684,0.0025734599,0.10000002,0.00043033177,1.0
15000,3.4189382,17.74074074074074,-1742.6456,-3195.984238801179,-2876.385764227973,4134327.8,0.37879518,0.0025578751,0.10000002,0.00042778623,1.0
15500,3.418938,17.59259259259259,-1773.5663,-3985.3190465856483,-3586.787091290509,4855253.0,0.3866275,0.0025421772,0.10000002,0.00042522233,1.0
16000,3.4189382,17.666666666666668,-1803.4873,-4138.639105902777,-3724.775146484375,5070900.0,0.39006966,0.0025265177,0.10000002,0.00042266454,1.0
16500,3.418938,17.615384615384617,-1832.5181,-3963.114287156325,-3566.802834730882,4968902.5,0.3914182,0.0025128503,0.10000002,0.0004204322,1.0
17000,3.418938,17.59259259259259,-1942.4269,-3713.8811165138527,-3342.4929832175926,4456489.0,0.38956088,0.002499135,0.10000002,0.00041819204,1.0
17500,3.4189382,16.586206896551722,-2016.5365,-3534.3710390288256,-3180.933875774515,4982616.5,0.37055624,0.0024834224,0.10000002,0.0004156256,1.0
18000,3.418938,17.51851851851852,-2117.2324,-3661.4972782841437,-3295.3475341796875,4519132.0,0.38102117,0.0024676875,0.10000002,0.00041305562,1.0
18500,3.418938,17.555555555555557,-2186.281,-3856.306025752315,-3470.675399215133,4570569.0,0.38688263,0.002452095,0.10000002,0.00041050883,1.0
19000,3.418938,17.62962962962963,-2404.7578,-3731.9760787398727,-3358.7784288194443,4313906.0,0.38647482,0.0024364945,0.10000002,0.00040796085,1.0
19500,3.418938,17.59259259259259,-2546.3818,-4075.5668674045137,-3668.010109230324,4977090.0,0.38846168,0.0024208948,0.10000002,0.00040541284,1.0
20000,3.418938,17.576923076923077,-2577.2734,-4135.4504957932695,-3721.905470628005,4908044.5,0.38765314,0.0024072302,0.10000002,0.00040318083,1.0
20500,3.4189382,17.428571428571427,-2605.3123,-3899.2015075683594,-3509.2813589913503,4918653.0,0.38363197,0.0023936098,0.10000002,0.00040095625,1.0
21000,3.418938,17.653846153846153,-2641.0818,-3948.505868765024,-3553.655254657452,4890057.0,0.38768473,0.00237804,0.10000002,0.0003984132,1.0
21500,3.418938,17.962962962962962,-2679.714,-4240.014060691551,-3816.012546115451,5166053.0,0.388672,0.0023622527,0.10000002,0.0003958346,1.0
22000,3.418938,17.555555555555557,-2716.2559,-3577.8163429542824,-3220.034740306713,4650920.0,0.37643912,0.002346525,0.10000002,0.0003932657,1.0
22500,3.418938,17.692307692307693,-2760.774,-3752.3008810190054,-3377.070760873648,4958594.0,0.38796648,0.0023328399,0.10000002,0.00039103048,1.0
23000,3.4189382,17.0,-2849.2952,-3749.8638044084823,-3374.8774065290177,4595759.0,0.3718891,0.002319045,0.10000002,0.0003887773,1.0
23500,3.418938,17.62962962962963,-2905.2444,-3789.3949110243057,-3410.4554036458335,4547649.0,0.38707715,0.002303415,0.10000002,0.00038622442,1.0
24000,3.4189382,17.666666666666668,-3086.445,-3939.092832212095,-3545.18351010923,4664368.5,0.3906581,0.0022877548,0.10000002,0.00038366666,1.0
24500,3.4189382,17.666666666666668,-3214.3823,-3759.48132776331,-3383.533191822193,4541951.0,0.3828773,0.0022720722,0.10000002,0.00038110514,1.0
25000,3.418938,17.615384615384617,-3268.6877,-3806.8473205566406,-3426.162506690392,4662136.0,0.39343387,0.0022564053,0.10000002,0.00037854613,1.0
25500,3.418938,16.964285714285715,-3435.496,-3687.2585242135183,-3318.5326478140696,4706071.0,0.3885096,0.00224273,0.10000002,0.00037631253,1.0
26000,3.418938,16.928571428571427,-3509.4573,-3421.841291155134,-3079.657127380371,4363110.5,0.37328503,0.002229075,0.10000002,0.00037408224,1.0
26500,3.418938,17.59259259259259,-3575.4941,-3628.336371527778,-3265.5026810257523,4368105.5,0.37448162,0.0022134227,0.10000002,0.00037152562,1.0
27000,3.418938,17.59259259259259,-3613.828,-3915.217291937934,-3523.6955114293983,4830031.0,0.39060354,0.0021978228,0.10000002,0.0003689777,1.0
27500,3.418938,16.964285714285715,-3678.676,-3559.2322126116073,-3203.3089468819753,4840100.0,0.37071174,0.0021821926,0.10000002,0.0003664248,1.0
28000,3.418938,17.555555555555557,-3786.8872,-4072.389879014757,-3665.150885687934,4923871.5,0.38957143,0.002166555,0.10000002,0.00036387064,1.0
28500,3.418938,17.846153846153847,-3830.8142,-4065.357168344351,-3658.8213735727163,5189505.0,0.3844187,0.0021528401,0.10000002,0.0003616305,1.0
29000,3.4189382,18.074074074074073,-3862.4172,-3924.7534993489585,-3532.2781032986113,4843724.0,0.38501126,0.0021389024,0.10000002,0.0003593541,1.0
29500,3.418938,17.76923076923077,-3900.869,-3263.824605501615,-2937.442111088679,4627650.5,0.3776783,0.002122995,0.10000002,0.00035675586,1.0
30000,3.4189382,17.88888888888889,-4029.089,-4099.46477593316,-3689.5183015046296,4876438.5,0.3898384,0.0021071397,0.10000002,0.0003541662,1.0
30500,3.418938,18.36,-4101.7886,-3727.8721484375,-3355.084921875,4760855.5,0.38214996,0.00209319,0.10000002,0.00035188775,1.0
31000,3.4189382,18.923076923076923,-4125.8545,-4482.882432204026,-4034.5941631610576,5996044.0,0.38383475,0.0020786026,0.10000002,0.00034950508,1.0
31500,3.418938,17.653846153846153,-4202.892,-3559.591607900766,-3203.6323854006255,5022552.0,0.37632117,0.0020621927,0.10000002,0.00034682482,1.0
32000,3.418938,18.346153846153847,-4284.881,-4097.930025540865,-3688.1370286207934,5461562.5,0.3825843,0.00204792,0.10000002,0.00034449363,1.0
32500,3.4189382,18.653846153846153,-4321.7344,-4239.57035945012,-3815.6132061298076,5472107.0,0.38781852,0.0020335875,0.10000002,0.0003421526,1.0
33000,3.418938,20.82608695652174,-4354.0977,-4553.616805366848,-4098.254957116168,6079254.0,0.38545632,0.0020174105,0.10000002,0.00033951033,1.0
33500,3.418938,19.375,-4388.2344,-4197.291158040364,-3777.5618184407554,7080443.5,0.36298797,0.0020032201,0.10000002,0.00033719256,1.0
